nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15688;40;BEYLONGUE;Beylongue;40370;40040;-0.833333;43.9167
15689;40;PRECHACQ-LES-BAINS;Préchacq-les-Bains;40465;40237;-0.908333;43.7584
15690;40;MONGET;Monget;40700;40189;-0.516667;43.5667
15691;40;OEYRELUY;Oeyreluy;40180;40207;-1.08333;43.6667
15692;40;TARTAS;Tartas;40400;40313;-0.8;43.8333
15693;40;BUANES;Buanes;40320;40057;-0.416667;43.7167
15694;40;MEES;Mées;40990;40179;-1.1;43.7
15695;40;RIVIERE-SAAS-ET-GOURBY;Rivière-Saas-et-Gourby;40180;40244;-1.13333;43.6833
15696;40;SOUPROSSE;Souprosse;40250;40309;-0.7;43.7833
15697;40;LABASTIDE-D'ARMAGNAC;Labastide-d'Armagnac;40240;40131;-0.183333;43.9667
15698;40;SAINT-GEIN;Saint-Gein;40190;40259;-0.3;43.8333
15699;40;MAUVEZIN-D'ARMAGNAC;Mauvezin-d'Armagnac;40240;40176;-0.116667;43.95
15700;40;SANGUINET;Sanguinet;40460;40287;-1.075;44.4833
15701;40;TALLER;Taller;40260;40311;-1.06667;43.8667
15702;40;SARBAZAN;Sarbazan;40120;40288;-0.316667;44.0167
15703;40;VICQ-D'AURIBAT;Vicq-d'Auribat;40380;40324;-0.859722;43.785
15704;40;MAILLERES;Maillères;40120;40170;-0.433333;44.0333
15705;40;PISSOS;Pissos;40410;40227;-0.766667;44.3
15706;40;SAINT-PAUL-LES-DAX;Saint-Paul-lès-Dax;40990;40279;-1.05;43.7333
15707;40;SIEST;Siest;40180;40301;-1.13333;43.65
15708;40;NOUSSE;Nousse;40380;40205;-0.816667;43.7167
15709;40;BASTENNES;Bastennes;40360;40028;-0.783333;43.65
15710;40;EUGENIE-LES-BAINS;Eugénie-les-Bains;40320;40097;-0.383333;43.7
15711;40;SEIGNOSSE;Seignosse;40510;40296;-1.36667;43.6833
15712;40;SAINT-MARTIN-DE-HINX;Saint-Martin-de-Hinx;40390;40272;-1.26667;43.5833
15713;40;POYARTIN;Poyartin;40380;40236;-0.866667;43.6833
15714;40;PIMBO;Pimbo;40320;40226;-0.366667;43.5833
15715;40;HORSARRIEU;Horsarrieu;40700;40128;-0.6;43.6833
15716;40;BASSERCLES;Bassercles;40700;40027;-0.616667;43.55
15717;40;PHILONDENX;Philondenx;40320;40225;-0.45;43.5667
15718;40;LABATUT;Labatut;40300;40132;-0.985278;43.5503
15719;40;CASTELNER;Castelner;40700;40073;-0.583333;43.55
15720;40;MAZEROLLES;Mazerolles;40090;40178;-0.436389;43.8753
15721;40;CANENX-ET-REAUT;Canenx-et-Réaut;40090;40064;-0.433333;44
15722;40;BASCONS;Bascons;40090;40025;-0.4;43.8167
15723;40;VIELLE-SAINT-GIRONS;Vielle-Saint-Girons;40560;40326;-1.3;43.95
15724;40;SAINT-ETIENNE-D'ORTHE;Saint-Étienne-d'Orthe;40300;40256;-1.16667;43.5833
15725;40;ESCALANS;Escalans;40310;40093;0.033333;43.9667
15726;40;ANGOUME;Angoumé;40990;40003;-1.13333;43.6667
15727;40;GRENADE-SUR-L'ADOUR;Grenade-sur-l'Adour;40270;40117;-0.416667;43.7833
15728;40;LAGLORIEUSE;Laglorieuse;40090;40139;-0.4;43.8667
15729;40;LESGOR;Lesgor;40400;40151;-0.9;43.85
15730;40;SORBETS;Sorbets;40320;40305;-0.316667;43.6333
15731;40;SAINT-MAURICE-SUR-ADOUR;Saint-Maurice-sur-Adour;40270;40275;-0.45;43.7833
15732;40;ARENGOSSE;Arengosse;40110;40006;-0.783333;44
15733;40;MIMBASTE;Mimbaste;40350;40183;-0.966667;43.65
15734;40;SAINT-VINCENT-DE-TYROSSE;Saint-Vincent-de-Tyrosse;40230;40284;-1.3;43.6667
15735;40;CALLEN;Callen;40430;40060;-0.466667;44.3
